distance,troughput,server_troughput,calculation_start_after_app,runtime,total_packet_count_received,signal_mean,noise,signal_varianz
1,74.9818,74.9818,0,37,239166,-34,-90,0
2,74.9818,74.9818,0,37,239166,-40,-90,0
3,74.9818,74.9818,0,37,239166,-43,-90,0
4,74.9818,74.9818,0,37,239166,-46,-90,0
5,74.9818,74.9818,0,37,239166,-47,-90,0
6,74.9818,74.9818,0,37,239166,-49,-90,0
7,74.9818,74.9818,0,37,239166,-50,-90,0
8,74.9818,74.9818,0,37,239166,-51,-90,0
9,74.9818,74.9818,0,37,239166,-52,-90,0
10,74.9818,74.9818,0,37,239166,-53,-90,0
11,74.9818,74.9818,0,37,239166,-54,-90,0
12,74.9818,74.9818,0,37,239166,-55,-90,0
13,74.9818,74.9818,0,37,239166,-55,-90,0
14,74.9818,74.9818,0,37,239166,-56,-90,0
15,74.9818,74.9818,0,37,239166,-57,-90,0
16,74.9818,74.9818,0,37,239166,-57,-90,0
17,74.9818,74.9818,0,37,239166,-58,-90,0
18,74.9818,74.9818,0,37,239166,-58,-90,0
19,74.9818,74.9818,0,37,239166,-58,-90,0
20,74.9818,74.9818,0,37,239166,-59,-90,0
21,74.9818,74.9818,0,37,239166,-59,-90,0
22,74.9818,74.9818,0,37,239166,-60,-90,0
23,74.9818,74.9818,0,37,239166,-60,-90,0
24,74.9818,74.9818,0,37,239166,-60,-90,0
25,74.9818,74.9818,0,37,239166,-61,-90,0
26,74.9818,74.9818,0,37,239166,-61,-90,0
27,74.9818,74.9818,0,37,239166,-61,-90,0
28,74.9818,74.9818,0,37,239166,-62,-90,0
29,74.9818,74.9818,0,37,239166,-62,-90,0
30,74.9818,74.9818,0,37,239166,-62,-90,0
31,74.9818,74.9818,0,37,239166,-63,-90,0
32,74.9818,74.9818,0,37,239166,-63,-90,0
33,74.9818,74.9818,0,37,239166,-63,-90,0
34,74.9818,74.9818,0,37,239166,-63,-90,0
35,74.9818,74.9818,0,37,239166,-64,-90,0
36,74.9818,74.9818,0,37,239166,-64,-90,0
37,74.9818,74.9818,0,37,239166,-64,-90,0
38,74.9818,74.9818,0,37,239166,-64,-90,0
39,74.9818,74.9818,0,37,239166,-64,-90,0
40,74.9818,74.9818,0,37,239166,-65,-90,0
41,74.9818,74.9818,0,37,239166,-65,-90,0
42,74.9818,74.9818,0,37,239166,-65,-90,0
43,74.9818,74.9818,0,37,239166,-65,-90,0
44,74.9818,74.9818,0,37,239166,-65,-90,0
45,74.9818,74.9818,0,37,239166,-66,-90,0
46,74.9818,74.9818,0,37,239166,-66,-90,0
47,74.9818,74.9818,0,37,239166,-66,-90,0
48,74.9818,74.9818,0,37,239166,-66,-90,0
49,74.9818,74.9818,0,37,239166,-66,-90,0
50,74.9818,74.9818,0,37,239166,-66,-90,0
51,74.9818,74.9818,0,37,239166,-67,-90,0
52,74.9818,74.9818,0,37,239166,-67,-90,0
53,74.9818,74.9818,0,37,239166,-67,-90,0
54,74.9818,74.9818,0,37,239166,-67,-90,0
55,74.9818,74.9818,0,37,239166,-67,-90,0
56,74.9818,74.9818,0,37,239166,-67,-90,0
57,74.9818,74.9818,0,37,239166,-68,-90,0
58,74.9818,74.9818,0,37,239166,-68,-90,0
59,74.9818,74.9818,0,37,239166,-68,-90,0
60,74.9818,74.9818,0,37,239166,-68,-90,0
61,74.9818,74.9818,0,37,239166,-68,-90,0
62,74.9818,74.9818,0,37,239166,-68,-90,0
63,74.9818,74.9818,0,37,239166,-68,-90,0
64,74.9818,74.9818,0,37,239166,-68,-90,0
