distance,troughput,calculation_start_after_app,runtime,total_packet_count_received,signal_mean, noise,signal_varianz
144,65.6061,0,30,169671,-77,-90,0
145,65.395,0,30,169125,-77,-90,0
146,64.489,0,30,166782,-77,-90,0
147,64.6623,0,30,167230,-78,-90,0
148,64.0475,0,30,165640,-78,-90,0
149,63.8769,0,30,165199,-78,-90,0
150,63.2011,0,30,163451,-78,-90,0
151,62.4227,0,30,161438,-78,-90,0
152,61.6142,0,30,159347,-78,-90,0
153,60.8934,0,30,157483,-78,-90,0
154,59.9349,0,30,155004,-78,-90,0
155,58.3155,0,30,150816,-78,-90,0
156,55.4851,0,30,143496,-78,-90,0
157,52.8113,0,30,136581,-78,-90,0
158,50.6209,0,30,130916,-78,-90,0
159,51.2894,0,30,132645,-78,-90,0
160,51.2674,0,30,132588,-78,-90,0
161,51.2751,0,30,132608,-78,-90,0
162,51.2801,0,30,132621,-78,-90,0
163,51.2728,0,30,132602,-78,-90,0
164,51.2531,0,30,132551,-78,-90,0
165,51.2635,0,30,132578,-79,-90,0
166,51.2631,0,30,132577,-79,-90,0
167,51.2589,0,30,132566,-79,-90,0
168,51.2415,0,30,132521,-79,-90,0
169,51.2291,0,30,132489,-79,-90,0
170,51.2357,0,30,132506,-79,-90,0
171,51.2291,0,30,132489,-79,-90,0
172,51.2217,0,30,132470,-79,-90,0
173,51.2183,0,30,132461,-79,-90,0
174,51.209,0,30,132437,-79,-90,0
175,51.202,0,30,132419,-79,-90,0
176,51.1935,0,30,132397,-79,-90,0
177,51.1858,0,30,132377,-79,-90,0
178,51.1722,0,30,132342,-79,-90,0
179,51.1753,0,30,132350,-79,-90,0
180,51.1707,0,30,132338,-79,-90,0
181,51.1502,0,30,132285,-79,-90,0
182,51.1417,0,30,132263,-79,-90,0
183,51.1591,0,30,132308,-79,-90,0
184,51.1436,0,30,132268,-79,-90,0
185,51.1123,0,30,132187,-80,-90,0
186,51.0694,0,30,132076,-80,-90,0
187,51.0338,0,30,131984,-80,-90,0
188,51.0098,0,30,131922,-80,-90,0
189,50.9692,0,30,131817,-80,-90,0
190,50.9414,0,30,131745,-80,-90,0
191,50.9085,0,30,131660,-80,-90,0
192,50.8807,0,30,131588,-80,-90,0
193,50.8424,0,30,131489,-80,-90,0
194,50.82,0,30,131431,-80,-90,0
195,50.7129,0,30,131154,-80,-90,0
196,50.5973,0,30,130855,-80,-90,0
197,50.4472,0,30,130467,-80,-90,0
198,50.3347,0,30,130176,-80,-90,0
199,50.2021,0,30,129833,-80,-90,0
200,50.0795,0,30,129516,-80,-90,0
201,49.9693,0,30,129231,-80,-90,0
202,49.7984,0,30,128789,-80,-90,0
203,49.6697,0,30,128456,-80,-90,0
204,49.5533,0,30,128155,-80,-90,0
205,49.4581,0,30,127909,-80,-90,0
206,49.2227,0,30,127300,-80,-90,0
207,48.8085,0,30,126229,-81,-90,0
208,48.4172,0,30,125217,-81,-90,0
209,47.9811,0,30,124089,-81,-90,0
210,47.5635,0,30,123009,-81,-90,0
211,47.1347,0,30,121900,-81,-90,0
212,46.678,0,30,120719,-81,-90,0
213,46.1433,0,30,119336,-81,-90,0
214,45.6866,0,30,118155,-81,-90,0
215,45.2806,0,30,117105,-81,-90,0
216,44.7965,0,30,115853,-81,-90,0
217,44.317,0,30,114613,-81,-90,0
218,43.9095,0,30,113559,-81,-90,0
219,42.7402,0,30,110535,-81,-90,0
220,41.4932,0,30,107310,-81,-90,0
