Distance;Dämpfung;Signalstärke
240;94,53974223;-83,53974223
241;94,57585824;-83,57585824
242;94,61182471;-83,61182471
243;94,64764286;-83,64764286
244;94,68331392;-83,68331392
245;94,71883908;-83,71883908
246;94,75421953;-83,75421953
247;94,78945646;-83,78945646
248;94,82455101;-83,82455101
249;94,85950433;-83,85950433
250;94,89431757;-83,89431757
251;94,92899182;-83,92899182
252;94,96352821;-83,96352821
253;94,99792782;-83,99792782
254;95,03219172;-84,03219172
255;95,066321;-84,066321
256;95,1003167;-84,1003167
257;95,13417986;-84,13417986
258;95,16791151;-84,16791151
259;95,20151267;-84,20151267
260;95,23498435;-84,23498435
261;95,26832754;-84,26832754
262;95,30154322;-84,30154322
263;95,33463236;-84,33463236
264;95,36759593;-84,36759593
265;95,40043487;-84,40043487
266;95,43315012;-84,43315012
267;95,46574262;-84,46574262
268;95,49821327;-84,49821327
269;95,53056299;-84,53056299
270;95,56279268;-84,56279268
271;95,59490321;-84,59490321
272;95,62689547;-84,62689547
273;95,65877033;-84,65877033
274;95,69052865;-84,69052865
275;95,72217127;-84,72217127
276;95,75369903;-84,75369903
277;95,78511277;-84,78511277
278;95,81641331;-84,81641331
279;95,84760146;-84,84760146
280;95,87867802;-84,87867802
281;95,90964379;-84,90964379
282;95,94049956;-84,94049956
283;95,9712461;-84,9712461
284;96,00188419;-85,00188419
285;96,03241459;-85,03241459
286;96,06283805;-85,06283805
287;96,09315533;-85,09315533
288;96,12336715;-85,12336715
289;96,15347425;-85,15347425
290;96,18347735;-85,18347735
291;96,21337717;-85,21337717
292;96,24317442;-85,24317442
293;96,2728698;-85,2728698
294;96,302464;-85,302464
295;96,33195771;-85,33195771
296;96,36135161;-85,36135161
297;96,39064638;-85,39064638
298;96,41984267;-85,41984267
299;96,44894116;-85,44894116
300;96,47794249;-85,47794249
301;96,5068473;-85,5068473
302;96,53565625;-85,53565625
